Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee
18,11/8/2017,Arsenal,Leicester,4,3,H,2,2,D,M Dean
18,12/8/2017,Brighton,Man City,0,2,A,0,0,D,M Oliver
18,12/8/2017,Chelsea,Burnley,2,3,A,0,3,A,C Pawson
18,12/8/2017,Crystal Palace,Huddersfield,0,3,A,0,2,A,J Moss
18,12/8/2017,Everton,Stoke,1,0,H,1,0,H,N Swarbrick
18,12/8/2017,Southampton,Swansea,0,0,D,0,0,D,M Jones
18,12/8/2017,Watford,Liverpool,3,3,D,2,1,H,A Taylor
18,12/8/2017,West Brom,Bournemouth,1,0,H,1,0,H,R Madley
18,13/08/17,Man United,West Ham,4,0,H,1,0,H,M Atkinson
18,13/08/17,Newcastle,Tottenham,0,2,A,0,0,D,A Marriner
18,19/08/17,Bournemouth,Watford,0,2,A,0,0,D,R East
18,19/08/17,Burnley,West Brom,0,1,A,0,0,D,M Atkinson
18,19/08/17,Leicester,Brighton,2,0,H,1,0,H,L Probert
18,19/08/17,Liverpool,Crystal Palace,1,0,H,0,0,D,K Friend
18,19/08/17,Southampton,West Ham,3,2,H,2,1,H,L Mason
18,19/08/17,Stoke,Arsenal,1,0,H,0,0,D,A Marriner
18,19/08/17,Swansea,Man United,0,4,A,0,1,A,J Moss
18,20/08/17,Huddersfield,Newcastle,1,0,H,0,0,D,C Pawson
18,20/08/17,Tottenham,Chelsea,1,2,A,0,1,A,A Taylor
18,21/08/17,Man City,Everton,1,1,D,0,1,A,R Madley
18,26/08/17,Bournemouth,Man City,1,2,A,1,1,D,M Dean
18,26/08/17,Crystal Palace,Swansea,0,2,A,0,1,A,A Marriner
18,26/08/17,Huddersfield,Southampton,0,0,D,0,0,D,S Attwell
18,26/08/17,Man United,Leicester,2,0,H,0,0,D,M Oliver
18,26/08/17,Newcastle,West Ham,3,0,H,1,0,H,N Swarbrick
18,26/08/17,Watford,Brighton,0,0,D,0,0,D,G Scott
18,27/08/17,Chelsea,Everton,2,0,H,2,0,H,J Moss
18,27/08/17,Liverpool,Arsenal,4,0,H,2,0,H,C Pawson
18,27/08/17,Tottenham,Burnley,1,1,D,0,0,D,L Mason
18,27/08/17,West Brom,Stoke,1,1,D,0,0,D,A Taylor
18,9/9/2017,Arsenal,Bournemouth,3,0,H,2,0,H,A Taylor
18,9/9/2017,Brighton,West Brom,3,1,H,1,0,H,C Kavanagh
18,9/9/2017,Everton,Tottenham,0,3,A,0,2,A,G Scott
18,9/9/2017,Leicester,Chelsea,1,2,A,0,1,A,L Mason
18,9/9/2017,Man City,Liverpool,5,0,H,2,0,H,J Moss
18,9/9/2017,Southampton,Watford,0,2,A,0,1,A,L Probert
18,9/9/2017,Stoke,Man United,2,2,D,1,1,D,N Swarbrick
18,10/9/2017,Burnley,Crystal Palace,1,0,H,1,0,H,M Oliver
18,10/9/2017,Swansea,Newcastle,0,1,A,0,0,D,M Jones
18,11/9/2017,West Ham,Huddersfield,2,0,H,0,0,D,K Friend
18,15/09/17,Bournemouth,Brighton,2,1,H,0,0,D,C Pawson
18,16/09/17,Crystal Palace,Southampton,0,1,A,0,1,A,R Madley
18,16/09/17,Huddersfield,Leicester,1,1,D,0,0,D,J Moss
18,16/09/17,Liverpool,Burnley,1,1,D,1,1,D,R East
18,16/09/17,Newcastle,Stoke,2,1,H,1,0,H,S Attwell
18,16/09/17,Tottenham,Swansea,0,0,D,0,0,D,M Dean
18,16/09/17,Watford,Man City,0,6,A,0,3,A,A Taylor
18,16/09/17,West Brom,West Ham,0,0,D,0,0,D,P Tierney
18,17/09/17,Chelsea,Arsenal,0,0,D,0,0,D,M Oliver
18,17/09/17,Man United,Everton,4,0,H,1,0,H,A Marriner
18,23/09/17,Burnley,Huddersfield,0,0,D,0,0,D,C Kavanagh
18,23/09/17,Everton,Bournemouth,2,1,H,0,0,D,M Atkinson
18,23/09/17,Leicester,Liverpool,2,3,A,1,2,A,A Taylor
18,23/09/17,Man City,Crystal Palace,5,0,H,1,0,H,N Swarbrick
18,23/09/17,Southampton,Man United,0,1,A,0,1,A,C Pawson
18,23/09/17,Stoke,Chelsea,0,4,A,0,2,A,M Dean
18,23/09/17,Swansea,Watford,1,2,A,0,1,A,L Mason
18,23/09/17,West Ham,Tottenham,2,3,A,0,2,A,M Oliver
18,24/09/17,Brighton,Newcastle,1,0,H,0,0,D,A Marriner
18,25/09/17,Arsenal,West Brom,2,0,H,1,0,H,R Madley
18,30/09/17,Bournemouth,Leicester,0,0,D,0,0,D,G Scott
18,30/09/17,Chelsea,Man City,0,1,A,0,0,D,M Atkinson
18,30/09/17,Huddersfield,Tottenham,0,4,A,0,3,A,N Swarbrick
18,30/09/17,Man United,Crystal Palace,4,0,H,2,0,H,M Dean
18,30/09/17,Stoke,Southampton,2,1,H,1,0,H,M Jones
18,30/09/17,West Brom,Watford,2,2,D,2,1,H,M Oliver
18,30/09/17,West Ham,Swansea,1,0,H,0,0,D,R East
18,1/10/2017,Arsenal,Brighton,2,0,H,1,0,H,K Friend
18,1/10/2017,Everton,Burnley,0,1,A,0,1,A,J Moss
18,1/10/2017,Newcastle,Liverpool,1,1,D,1,1,D,C Pawson
18,14/10/17,Burnley,West Ham,1,1,D,0,1,A,S Attwell
18,14/10/17,Crystal Palace,Chelsea,2,1,H,2,1,H,A Marriner
18,14/10/17,Liverpool,Man United,0,0,D,0,0,D,M Atkinson
18,14/10/17,Man City,Stoke,7,2,H,3,1,H,C Pawson
18,14/10/17,Swansea,Huddersfield,2,0,H,1,0,H,P Tierney
18,14/10/17,Tottenham,Bournemouth,1,0,H,0,0,D,R Madley
18,14/10/17,Watford,Arsenal,2,1,H,0,1,A,N Swarbrick
18,15/10/17,Brighton,Everton,1,1,D,0,0,D,M Oliver
18,15/10/17,Southampton,Newcastle,2,2,D,0,1,A,K Friend
18,16/10/17,Leicester,West Brom,1,1,D,0,0,D,M Dean
